Frame,Hand,Landmark,X,Y,Z
25,0,0,0.43001142144203186,0.5667836666107178,6.565283001691569e-07
25,0,1,0.448167085647583,0.5589097142219543,-0.04165158420801163
25,0,2,0.4380137026309967,0.5372318029403687,-0.0638355165719986
25,0,3,0.4031960666179657,0.5180311799049377,-0.07824195921421051
25,0,4,0.3700728118419647,0.5099087953567505,-0.0918160006403923
25,0,5,0.45232275128364563,0.4557137191295624,-0.05023680627346039
25,0,6,0.45870083570480347,0.3964042067527771,-0.0710175409913063
25,0,7,0.45902538299560547,0.35620611906051636,-0.08404715359210968
25,0,8,0.4602062702178955,0.3280331790447235,-0.09238506853580475
25,0,9,0.42405250668525696,0.4541833698749542,-0.03983050584793091
25,0,10,0.4186548888683319,0.3942228853702545,-0.06079854816198349
25,0,11,0.4080840051174164,0.353756844997406,-0.07480815798044205
25,0,12,0.40232154726982117,0.32232433557510376,-0.08269008994102478
25,0,13,0.4003710448741913,0.47015711665153503,-0.03207604959607124
25,0,14,0.37918803095817566,0.4274969696998596,-0.05836484208703041
25,0,15,0.3613494634628296,0.39505553245544434,-0.0770951509475708
25,0,16,0.35043156147003174,0.3682682514190674,-0.08698827773332596
25,0,17,0.37986186146736145,0.4964536428451538,-0.02585856057703495
25,0,18,0.3599163293838501,0.49038073420524597,-0.052176333963871
25,0,19,0.3484708070755005,0.49648961424827576,-0.06457608938217163
25,0,20,0.3436272144317627,0.5022743344306946,-0.07035048305988312
26,0,0,0.43213337659835815,0.5871753096580505,6.59186412121926e-07
26,0,1,0.4430707097053528,0.5783904790878296,-0.040489766746759415
26,0,2,0.4271189272403717,0.5506459474563599,-0.06113255396485329
26,0,3,0.3864462375640869,0.5231878757476807,-0.07465719431638718
26,0,4,0.3524759113788605,0.4988616108894348,-0.08893276005983353
26,0,5,0.4534488320350647,0.46379268169403076,-0.0526370070874691
26,0,6,0.4631701409816742,0.3898095488548279,-0.0735335648059845
26,0,7,0.46749573945999146,0.34170499444007874,-0.08864844590425491
26,0,8,0.46993696689605713,0.29941096901893616,-0.09982593357563019
26,0,9,0.4226979911327362,0.4614582359790802,-0.04487261548638344
26,0,10,0.41486597061157227,0.3886176645755768,-0.0657731294631958
26,0,11,0.4036814272403717,0.3403962254524231,-0.08384249359369278
26,0,12,0.39539453387260437,0.29926058650016785,-0.09551697969436646
26,0,13,0.39767739176750183,0.47889435291290283,-0.03893584385514259
26,0,14,0.3703402280807495,0.4222504496574402,-0.06471788138151169
26,0,15,0.35038653016090393,0.38707196712493896,-0.08324947208166122
26,0,16,0.33808988332748413,0.3550431728363037,-0.09414254873991013
26,0,17,0.37830209732055664,0.5077723860740662,-0.03496015444397926
26,0,18,0.35852453112602234,0.48979616165161133,-0.060764722526073456
26,0,19,0.3560018539428711,0.5039370656013489,-0.06958852708339691
26,0,20,0.3600761294364929,0.5183196663856506,-0.07317264378070831
27,0,0,0.43114542961120605,0.6199320554733276,7.130879566830117e-07
27,0,1,0.44354233145713806,0.6016799211502075,-0.05381644517183304
27,0,2,0.425481915473938,0.5611559152603149,-0.07514625787734985
27,0,3,0.38197019696235657,0.5291787981987,-0.08669127523899078
27,0,4,0.34551122784614563,0.5029919743537903,-0.097756527364254
27,0,5,0.4440094530582428,0.46548986434936523,-0.048377495259046555
27,0,6,0.4562194049358368,0.3892862796783447,-0.06336503475904465
27,0,7,0.4613932967185974,0.3411142826080322,-0.07547283917665482
27,0,8,0.4644889831542969,0.30139589309692383,-0.08480168879032135
27,0,9,0.4126030206680298,0.46656814217567444,-0.03102026879787445
27,0,10,0.40745973587036133,0.3902006149291992,-0.04340968653559685
27,0,11,0.3992726504802704,0.3417685031890869,-0.0574701651930809
27,0,12,0.392103374004364,0.30320942401885986,-0.06684940308332443
27,0,13,0.3883444368839264,0.48749619722366333,-0.017880752682685852
27,0,14,0.36479663848876953,0.42618417739868164,-0.036908406764268875
27,0,15,0.3471229374408722,0.3890455365180969,-0.05749443545937538
27,0,16,0.3349708020687103,0.3564996123313904,-0.07069545239210129
27,0,17,0.37082138657569885,0.5188778042793274,-0.008310530334711075
27,0,18,0.3494550883769989,0.4989834725856781,-0.03227763622999191
27,0,19,0.34480762481689453,0.510223925113678,-0.04589739441871643
27,0,20,0.34657734632492065,0.5228334069252014,-0.05327105522155762
28,0,0,0.43833526968955994,0.6515789031982422,6.176814508762618e-07
28,0,1,0.44818779826164246,0.6205193996429443,-0.056235283613204956
28,0,2,0.42473235726356506,0.5628875494003296,-0.0687776505947113
28,0,3,0.3745773732662201,0.526593029499054,-0.0695628747344017
28,0,4,0.3379653990268707,0.49895593523979187,-0.06840572506189346
28,0,5,0.44581103324890137,0.46594706177711487,-0.03286755457520485
28,0,6,0.4539778530597687,0.3847215175628662,-0.04290209338068962
28,0,7,0.4587613642215729,0.3344009816646576,-0.053483814001083374
28,0,8,0.46101266145706177,0.2912452816963196,-0.0622020922601223
28,0,9,0.4145299196243286,0.4672900438308716,-0.013333444483578205
28,0,10,0.4078316390514374,0.38524144887924194,-0.019457342103123665
28,0,11,0.39806807041168213,0.3332635760307312,-0.03172480687499046
28,0,12,0.3909529447555542,0.2931205630302429,-0.040035467594861984
28,0,13,0.3883538842201233,0.4884510040283203,1.6628886442049406e-05
28,0,14,0.3657994270324707,0.41964465379714966,-0.018683169037103653
28,0,15,0.3489561676979065,0.3798854649066925,-0.043729446828365326
28,0,16,0.3370629549026489,0.340463787317276,-0.05933172255754471
28,0,17,0.3694927394390106,0.5220957398414612,0.009476414881646633
28,0,18,0.34288734197616577,0.5007889270782471,-0.019439391791820526
28,0,19,0.3391864001750946,0.5217227339744568,-0.03696928545832634
28,0,20,0.34146443009376526,0.539804220199585,-0.04593272507190704
29,0,0,0.4204641282558441,0.5636746287345886,7.567925308649137e-07
29,0,1,0.42939233779907227,0.5603057742118835,-0.05502529442310333
29,0,2,0.41353467106819153,0.5378327369689941,-0.08420135825872421
29,0,3,0.3785334527492523,0.5191084742546082,-0.10325310379266739
29,0,4,0.3473651707172394,0.503022313117981,-0.12118217349052429
29,0,5,0.43709972500801086,0.45400577783584595,-0.06704840064048767
29,0,6,0.44576045870780945,0.39029794931411743,-0.09292688965797424
29,0,7,0.44858020544052124,0.3455899655818939,-0.10913074016571045
29,0,8,0.45211896300315857,0.3124212324619293,-0.11901164054870605
29,0,9,0.41573309898376465,0.44870632886886597,-0.05074306204915047
29,0,10,0.4038907587528229,0.3806714415550232,-0.078915074467659
29,0,11,0.39007672667503357,0.33408093452453613,-0.09833645075559616
29,0,12,0.38171571493148804,0.294611394405365,-0.1088898703455925
