Landmark,Y
13,0.474815667
14,0.432906032
15,0.458428442
16,0.475038379
17,0.49527365
18,0.471491158
19,0.49342674
20,0.51273334
0,0.609520674
1,0.554438174
2,0.489786595
3,0.43451491
4,0.385854125
5,0.445953131
6,0.378912449
7,0.335126519
8,0.299846768
9,0.456215024
10,0.40009129
11,0.376721531
12,0.35871464
13,0.473594487
14,0.42473188
15,0.444528192
16,0.460129797
17,0.49110502
18,0.462335259
19,0.479693562
20,0.497811705
0,0.532330394
1,0.510501266
2,0.466053277
3,0.423998773
4,0.385978252
5,0.431163013
6,0.382286549
7,0.344227493
8,0.315897644
9,0.438834608
10,0.39636305
11,0.394407123
12,0.394078583
13,0.456783444
14,0.433559269
15,0.441185594
16,0.441617727
17,0.480227292
18,0.464427888
19,0.471408248
20,0.474663019
0,0.609193563
1,0.556147873
2,0.493158638
3,0.439830154
4,0.390548944
5,0.445740163
6,0.382887363
7,0.339783609
8,0.306447089
9,0.453330815
10,0.388868451
11,0.349185765
12,0.314438641
13,0.469000161
14,0.415608764
15,0.434137493
16,0.446586132
17,0.487218618
18,0.456328064
19,0.473586202
20,0.491073072
0,0.564919174
1,0.546119988
2,0.485461771
3,0.432124346
4,0.385933757
5,0.43476069
6,0.381111413
7,0.345180809
8,0.313832998
9,0.442901462
10,0.402456343
11,0.434469908
12,0.437908828
13,0.460914731
14,0.430800498
15,0.475972563
16,0.484362006
17,0.48270762
18,0.4690485
19,0.502110779
20,0.510941803
0,0.609803259
1,0.557326317
2,0.492252052
3,0.437069207
4,0.386839747
5,0.441839039
6,0.381859422
7,0.340741217
8,0.306842625
9,0.454825133
10,0.406407923
11,0.398000747
12,0.395184606
13,0.474798858
14,0.432848096
15,0.45863387
16,0.477181852
17,0.495122105
18,0.467777997
19,0.490986645
20,0.512711704
0,0.613138378
1,0.561681688
2,0.496917307
3,0.440778881
4,0.390635997
5,0.444547325
6,0.382573366
7,0.342521578
8,0.306935579
9,0.454368472
10,0.407512188
11,0.408486784
12,0.411278963
13,0.473794192
14,0.433147758
15,0.463587344
16,0.48306042
17,0.49691534
18,0.471231461
19,0.496884555
20,0.517339766
0,0.534444809
1,0.519817114
2,0.475815624
3,0.43262589
4,0.391895801
5,0.434376687
6,0.3830387
7,0.343360513
8,0.315645546
9,0.437795788
10,0.394110173
11,0.390038788
12,0.375120431
13,0.45273003
14,0.429157466
15,0.459783167
16,0.470615745
17,0.474684209
18,0.464337468
19,0.486137807
20,0.495773524
0,0.612075448
1,0.556834102
2,0.493077427
3,0.438464105
4,0.384835303
5,0.443844706
6,0.385449022
7,0.343702018
8,0.311075777
9,0.450209886
10,0.392253011
11,0.367387295
12,0.342358053
13,0.46783936
14,0.421311229
15,0.452521473
16,0.473119885
17,0.489879519
18,0.464060068
19,0.490729719
20,0.512834072
0,0.569089592
1,0.552998841
2,0.490628749
3,0.433537573
4,0.388527125
5,0.433654994
6,0.380971402
7,0.347016126
8,0.316667527
9,0.440009624
10,0.401965499
11,0.44650802
12,0.456414044
13,0.457357496
14,0.425927699
15,0.473087162
16,0.481986612
17,0.480178148
18,0.467830151
19,0.502143025
20,0.512161076
0,0.614189625
1,0.56247735
2,0.495013654
3,0.4376899
4,0.387566477
5,0.442358226
6,0.38303116
7,0.342150241
8,0.308871865
9,0.451680899
10,0.400504112
11,0.401991367
12,0.403024882
13,0.472670048
14,0.429468751
15,0.462207317
16,0.482968777
17,0.49905467
18,0.469512403
19,0.496867746
20,0.520052671
0,0.614835918
1,0.562067509
2,0.494267166
3,0.437102109
4,0.386840701
5,0.442596167
6,0.384463668
7,0.3425771
8,0.309039235
9,0.450523853
10,0.396337181
11,0.391572654
12,0.384896457
13,0.471558243
14,0.428484172
15,0.465300709
16,0.486901939
17,0.499239504
18,0.469499916
19,0.500781894
20,0.523420811
0,0.585662842
1,0.560668051
2,0.491339773
3,0.435764551
4,0.388931572
5,0.446093202
6,0.401857734
7,0.367127001
8,0.339627802
9,0.450968146
10,0.406114757
11,0.424266189
12,0.425708055
13,0.468706429
14,0.4266693
15,0.46741271
16,0.481883675
17,0.492903978
18,0.472638518
19,0.502424777
20,0.5165658
0,0.61489445
1,0.56007421
2,0.493843973
3,0.436305821
4,0.384094596
5,0.445632368
6,0.386773765
7,0.343043715
8,0.309348851
9,0.453035682
10,0.396952271
11,0.378654152
12,0.359436333
13,0.474091381
14,0.427983135
15,0.462052912
16,0.48516798
17,0.500690341
18,0.470694572
19,0.500352621
20,0.523447573
0,0.614216924
1,0.560144007
2,0.494926393
3,0.437908351
4,0.385167748
5,0.444337308
6,0.383877039
7,0.339942396
8,0.306746423
9,0.452776283
10,0.39950633
11,0.381340086
12,0.361795545
13,0.473828048
14,0.429574221
15,0.463719249
16,0.486383706
17,0.499481767
18,0.470643133
19,0.498799264
20,0.521350563
0,0.590414524
1,0.558704138
2,0.488594413
3,0.431444496
4,0.382839739
5,0.450002223
6,0.406909823
7,0.37510705
8,0.34717977
9,0.455353796
10,0.407986939
11,0.428529531
12,0.430139512
13,0.472132355
14,0.427649021
15,0.466618299
16,0.479447424
17,0.493889064
18,0.473786145
19,0.499632597
20,0.509598255
0,0.613553882
1,0.557643294
2,0.491298199
3,0.43489176
4,0.382846773
5,0.444940329
6,0.385180384
7,0.34049505
8,0.306467384
9,0.452608407
10,0.398624629
11,0.384371877
12,0.367945492
13,0.47257942
14,0.427092314
15,0.462402195
16,0.485312968
17,0.497315705
18,0.469293624
19,0.498365253
20,0.520801127
0,0.612373173
1,0.557228923
2,0.491930515
3,0.435354471
4,0.383657575
5,0.444835037
6,0.384767473
7,0.340939611
8,0.307545483
9,0.45196104
10,0.396370173
11,0.37083286
12,0.344206631
13,0.471779108
14,0.425028622
15,0.459800988
16,0.483708411
17,0.496008784
18,0.467590064
19,0.496068656
20,0.518778682
0,0.590414524
1,0.558704138
2,0.488594413
3,0.431444496
4,0.382839739
5,0.450002223
6,0.406909823
7,0.37510705
8,0.34717977
9,0.455353796
10,0.407986939
11,0.428529531
12,0.430139512
13,0.472132355
14,0.427649021
15,0.466618299
16,0.479447424
17,0.493889064
18,0.473786145
19,0.499632597
20,0.509598255
0,0.612268806
1,0.558310986
2,0.490118861
3,0.43379885
4,0.382703334
5,0.44582954
6,0.38551423
7,0.341492951
8,0.306436658
9,0.453731298
10,0.402880043
11,0.396074802
12,0.387059629
13,0.473647863
14,0.428751111
15,0.462842464
16,0.484965265
17,0.49713856
18,0.470453441
19,0.498001903
20,0.518867612
0,0.609547555
1,0.559074223
2,0.492239147
3,0.434738904
4,0.383963495
5,0.440479368
6,0.380681008
7,0.338166118
8,0.303240776
9,0.450064451
10,0.399919868
11,0.418372661
12,0.430398792
13,0.469701618
14,0.431027859
15,0.468389153
16,0.488648295
17,0.494259596
18,0.472369641
19,0.503168344
20,0.521212101
0,0.595107853
1,0.559672236
2,0.491371959
3,0.437723279
4,0.38968882
5,0.451708674
6,0.406953692
7,0.370952457
8,0.33934474
9,0.456575185
10,0.41028896
11,0.412154198
12,0.39789933
13,0.472865313
14,0.427576602
15,0.462644756
16,0.472337127
17,0.493422985
18,0.473246843
19,0.50126493
20,0.512822568
0,0.609700859
1,0.560873508
2,0.494502872
3,0.436893374
4,0.384957105
5,0.436150044
6,0.378176302
7,0.335755408
8,0.301505446
9,0.445899427
10,0.393334597
11,0.411403716
12,0.426175654
13,0.467839897
14,0.427885145
15,0.467172772
16,0.488463223
17,0.496119857
18,0.470437169
19,0.502519727
20,0.522331893
0,0.611230969
1,0.561038077
2,0.494871527
3,0.438150525
4,0.387814581
5,0.438289493
6,0.378629863
7,0.336431056
8,0.300765514
9,0.448254675
10,0.397976846
11,0.412613392
12,0.426855087
13,0.469257325
14,0.431545794
15,0.469364405
16,0.491180837
17,0.495695114
18,0.472057849
19,0.502548158
20,0.523730993
0,0.594018281
1,0.560359538
2,0.490593076
3,0.437711328
4,0.391127765
5,0.452297896
6,0.411252767
7,0.379364073
8,0.349856138
9,0.457422167
10,0.413087189
11,0.417379856
12,0.400607258
13,0.474416822
14,0.429600507
15,0.465991884
16,0.470969081
17,0.495133847
18,0.476325452
19,0.504159808
20,0.513742626
0,0.611461759
1,0.558133245
2,0.492244035
3,0.43670094
4,0.387152374
5,0.44270733
6,0.379659444
7,0.337676883
8,0.301590502
9,0.452449292
10,0.401576161
11,0.389392138
12,0.378287852
13,0.472832948
14,0.42909959
15,0.456696749
16,0.476301491
17,0.496498674
18,0.472495586
19,0.497188717
20,0.518094182
0,0.610985279
1,0.559087515
2,0.493709117
3,0.436594456
4,0.386174887
5,0.43849948
6,0.377641171
7,0.335703015
8,0.300690919
9,0.450035274
10,0.397894531
11,0.408706278
12,0.420059055
13,0.471697181
14,0.430610836
15,0.464851439
16,0.487092584
17,0.498125613
18,0.471977085
19,0.50080657
20,0.521940589
0,0.580726504
1,0.552366495
2,0.484063238
3,0.428351194
4,0.381797969
5,0.443370283
6,0.39511314
7,0.355862379
8,0.327597648
9,0.449703842
10,0.40252316
11,0.421159089
12,0.426248223
13,0.468194962
14,0.424857169
15,0.460951626
16,0.475373387
17,0.493014693
18,0.470272422
19,0.49706319
20,0.51168716
0,0.609129667
1,0.555243254
2,0.48862204
3,0.432762861
4,0.383095473
5,0.441153497
6,0.378449231
7,0.335597873
8,0.29868263
9,0.45042941
10,0.396799207
11,0.39614135
12,0.396459103
13,0.470562547
14,0.428813607
15,0.4625251
16,0.48347196
17,0.494576037
18,0.470330566
19,0.497214258
20,0.516125679
0,0.610161126
1,0.565086186
2,0.496111929
3,0.43709895
4,0.385949612
5,0.437279761
6,0.375463605
7,0.334376246
