Landmark,Y
18,0.483338207
19,0.495867699
20,0.508706272
0,0.66984117
1,0.622810662
2,0.561074793
3,0.524779677
4,0.498399675
5,0.463498026
6,0.37798962
7,0.326869786
8,0.284530818
9,0.463603616
10,0.378736258
11,0.328049213
12,0.288639843
13,0.485713124
14,0.417328626
15,0.376520813
16,0.336280257
17,0.520557344
18,0.501848698
19,0.523467779
20,0.542207301
0,0.619954228
1,0.600512028
2,0.557631373
3,0.526660919
4,0.49909398
5,0.458358914
6,0.380345196
7,0.332160592
8,0.29186362
9,0.459525973
10,0.383062214
11,0.335853994
12,0.298441499
13,0.480711251
14,0.419786513
15,0.380433172
16,0.343444109
17,0.51149714
18,0.492888242
19,0.508342147
20,0.521754026
0,0.671833634
1,0.624483347
2,0.562879562
3,0.525594473
4,0.494768828
5,0.463428825
6,0.377361268
7,0.326090097
8,0.284199119
9,0.464554191
10,0.378704727
11,0.327944279
12,0.289090633
13,0.48605907
14,0.417353928
15,0.37650001
16,0.336522818
17,0.519329727
18,0.497949094
19,0.517193019
20,0.534358561
0,0.6728791
1,0.623479068
2,0.56115967
3,0.523298323
4,0.492269248
5,0.462191343
6,0.377143025
7,0.326536179
8,0.28477484
9,0.462091982
10,0.377021253
11,0.326570094
12,0.286545932
13,0.483564794
14,0.416295916
15,0.375640959
16,0.335484713
17,0.517845213
18,0.499368548
19,0.523683131
20,0.543432891
0,0.584774971
1,0.577048361
2,0.548600018
3,0.523959935
4,0.509451568
5,0.457576036
6,0.401993155
7,0.363830566
8,0.339361072
9,0.457608759
10,0.401333213
11,0.359712064
12,0.326505423
13,0.473896056
14,0.448500365
15,0.456624091
16,0.464450479
17,0.497963727
18,0.489679635
19,0.499318063
20,0.510280609
0,0.669922829
1,0.624543846
2,0.561767399
3,0.523739159
4,0.495386869
5,0.461861223
6,0.376749009
7,0.326055586
8,0.284128785
9,0.46212703
10,0.374749094
11,0.324412674
12,0.284904867
13,0.483643979
14,0.414928138
15,0.37192139
16,0.329718381
17,0.518332839
18,0.496535212
19,0.5169155
20,0.536174297
0,0.589484572
1,0.582999229
2,0.554974616
3,0.529280365
4,0.504822314
5,0.46073997
6,0.386070609
7,0.336461425
8,0.293198109
9,0.458294958
10,0.379219562
11,0.327311516
12,0.28127861
13,0.477521807
14,0.417616665
15,0.380239964
16,0.346073329
17,0.508446157
18,0.492341846
19,0.506138682
20,0.520361483
0,0.671003103
1,0.627537012
2,0.565813541
3,0.527625978
4,0.497139424
5,0.464015245
6,0.378904283
7,0.32716161
8,0.284855187
9,0.461869866
10,0.37347734
11,0.322149336
12,0.282478213
13,0.481431842
14,0.412412673
15,0.370361
16,0.330913633
17,0.515074849
18,0.498194247
19,0.520784497
20,0.541344523
0,0.627197087
1,0.607305646
2,0.562820017
3,0.531023264
4,0.503376901
5,0.460915893
6,0.380560577
7,0.32780239
8,0.284261495
9,0.460871369
10,0.377755135
11,0.324671686
12,0.281625032
13,0.481423289
14,0.411239535
15,0.368329704
16,0.328456163
17,0.512015581
18,0.485391766
19,0.496416062
20,0.506741822
0,0.672420502
1,0.628938556
2,0.566715777
3,0.525412738
4,0.493531585
5,0.464205474
6,0.379646569
7,0.327426672
8,0.284653366
9,0.461188883
10,0.372958481
11,0.320756674
12,0.279455245
13,0.480383933
14,0.408291876
15,0.363161653
16,0.319981337
17,0.51495111
18,0.499712676
19,0.521836758
20,0.542339563
0,0.674817026
1,0.629353106
2,0.56697619
3,0.524881721
4,0.489252925
5,0.464119971
6,0.379216403
7,0.326718748
8,0.285241783
9,0.460924506
10,0.371741563
11,0.319530129
12,0.279144883
13,0.481447905
14,0.409996599
15,0.364476264
16,0.320659041
17,0.517143369
18,0.506341577
19,0.531908572
20,0.553848028
0,0.670504749
1,0.627620697
2,0.567519784
3,0.524388313
4,0.48868829
5,0.46197477
6,0.379195124
7,0.3279787
8,0.286757827
9,0.457863837
10,0.370159805
11,0.318460405
12,0.278257787
13,0.476991177
14,0.403223574
15,0.358107597
16,0.316896588
17,0.51088661
18,0.495087832
19,0.514731586
20,0.532075465
0,0.665474474
1,0.624588013
2,0.565824568
3,0.521845877
4,0.480662048
5,0.4593364
6,0.375271767
7,0.3248128
8,0.283721179
9,0.455053389
10,0.367380083
11,0.316190839
12,0.276592851
13,0.474156559
14,0.402263373
15,0.356821656
16,0.31511116
17,0.508549094
18,0.494815052
19,0.516557992
20,0.534784436
0,0.657568276
1,0.613493562
2,0.549726367
3,0.50112313
4,0.462762207
5,0.447651982
6,0.364101112
7,0.313386619
8,0.270393968
9,0.443020493
10,0.357993424
11,0.306920648
12,0.266570091
13,0.462468624
14,0.386740953
15,0.341408014
16,0.29896003
17,0.499224097
18,0.477746993
19,0.501340985
20,0.523900211
0,0.508648515
1,0.512896001
2,0.493727654
3,0.472191989
4,0.459744215
5,0.441227555
6,0.394844532
7,0.358618259
8,0.330096394
9,0.42873618
10,0.377379626
11,0.333530217
12,0.294624925
13,0.428063601
14,0.396981329
15,0.380681425
16,0.363870591
