Landmark,Y
0,0.598708391
1,0.55726099
2,0.509243488
3,0.469161242
4,0.435624659
5,0.499965817
6,0.455253541
7,0.425105095
8,0.401662469
9,0.51121366
10,0.467045665
11,0.436368376
12,0.413796097
13,0.526943207
14,0.492865086
15,0.466780901
16,0.447124332
17,0.545834422
18,0.518677294
19,0.498863131
20,0.483985037
0,0.594186306
1,0.551228881
2,0.488602936
3,0.445336491
4,0.411789268
5,0.465464085
6,0.428414643
7,0.398698568
8,0.373384356
9,0.478896141
10,0.450527668
11,0.446270496
12,0.438637704
13,0.499392718
14,0.475669861
15,0.480903387
16,0.480149031
17,0.52276659
18,0.501668632
19,0.502126455
20,0.500781238
0,0.579647005
1,0.540090978
2,0.475833744
3,0.429321826
4,0.400588214
5,0.431694806
6,0.38116771
7,0.34607923
8,0.316794991
9,0.43466264
10,0.384305894
11,0.35097596
12,0.320802361
13,0.448011458
14,0.406418264
15,0.427169442
16,0.443704516
17,0.460199356
18,0.425806105
19,0.424936444
20,0.426588774
0,0.505873382
1,0.499586046
2,0.465734869
3,0.434141636
4,0.413319319
5,0.411031693
6,0.360953748
7,0.324277192
8,0.297796965
9,0.409027785
10,0.361502379
11,0.328080148
12,0.30039084
13,0.41568625
14,0.381302506
15,0.350870192
16,0.325280905
17,0.42773959
18,0.412635922
19,0.402444541
20,0.393674493
0,0.581088722
1,0.550023854
2,0.486872315
3,0.439494789
4,0.401051521
5,0.424331218
6,0.359007239
7,0.316191256
8,0.280463815
9,0.422490507
10,0.355154842
11,0.30771327
12,0.268840432
13,0.436711311
14,0.401596546
15,0.437614232
16,0.462121248
17,0.453006327
18,0.419356883
19,0.430872738
20,0.438777834
0,0.517397404
1,0.511202812
2,0.475809574
3,0.441556484
4,0.415257126
5,0.416821271
6,0.355515003
7,0.316144913
8,0.282710671
9,0.411083639
10,0.345707119
11,0.301731318
12,0.264024436
13,0.421846628
14,0.390182018
15,0.414842904
16,0.433879107
17,0.441005856
18,0.416520298
19,0.422918856
20,0.429360777
0,0.588189185
1,0.550052583
2,0.487634718
3,0.441906095
4,0.406957924
5,0.421207309
6,0.35634774
7,0.314803004
8,0.281758904
9,0.420012295
10,0.350273192
11,0.302513957
12,0.266190886
13,0.435099721
14,0.393371969
15,0.424289584
16,0.448871672
17,0.453696817
18,0.414137185
19,0.425580382
20,0.43866998
0,0.588913679
1,0.548133552
2,0.486016572
3,0.439833552
4,0.40660888
5,0.417586625
6,0.355011612
7,0.314414203
8,0.281808138
9,0.416933715
10,0.348268747
11,0.301260531
12,0.265476525
13,0.432983071
14,0.394522011
15,0.428569853
16,0.456138402
17,0.451844007
18,0.41378653
19,0.42749992
20,0.442531914
0,0.499860793
1,0.49276188
2,0.45907864
3,0.428794742
4,0.412640989
5,0.405087829
6,0.347409129
7,0.308770448
8,0.276170194
9,0.397545785
10,0.335403562
11,0.294851422
12,0.260424197
13,0.406021953
14,0.372823983
15,0.401325226
16,0.426073015
17,0.423416466
18,0.404592514
19,0.421016514
20,0.438795805
0,0.582217932
1,0.54171592
2,0.482129693
3,0.435886264
4,0.402181834
5,0.41283524
6,0.349643201
7,0.309370935
8,0.27711308
9,0.412007421
10,0.343021095
11,0.297330678
12,0.262849927
13,0.428051621
14,0.390486181
15,0.425149739
16,0.454208881
17,0.446894914
18,0.409700871
19,0.429467529
20,0.45025292
0,0.52790153
1,0.51355499
2,0.470502019
3,0.432410449
4,0.405665278
5,0.408516139
6,0.345849186
7,0.306954175
8,0.275087506
9,0.404167145
10,0.337525785
11,0.293284118
12,0.254745364
13,0.415815413
14,0.386271268
15,0.417937219
16,0.440709919
17,0.433464766
18,0.405326217
19,0.420878679
20,0.434792012
0,0.580179334
1,0.541206598
2,0.479248226
3,0.432135284
4,0.400331736
5,0.411211669
6,0.346549779
7,0.305086613
8,0.271788478
9,0.409983218
10,0.339195669
11,0.2919994
12,0.256636351
13,0.425846159
14,0.388964564
15,0.42443496
16,0.453217477
17,0.445412368
18,0.409452319
19,0.428398997
20,0.448515475
0,0.582141876
1,0.541367233
2,0.478639245
3,0.431246579
4,0.395828843
5,0.409555674
6,0.343468517
7,0.301345408
8,0.267172664
9,0.409398139
10,0.336487353
11,0.287432939
12,0.252056062
13,0.425955683
14,0.387134492
15,0.422418773
16,0.450751156
17,0.445712596
18,0.409320295
19,0.426549226
20,0.444768906
0,0.496519864
1,0.494417936
2,0.463794023
3,0.433597326
4,0.41583544
5,0.401985854
6,0.342405587
7,0.300897717
8,0.267079175
9,0.396027267
10,0.33835429
11,0.303281575
12,0.267804027
13,0.401844949
14,0.370461106
15,0.398545802
16,0.417506546
17,0.41590777
18,0.400854141
19,0.416512579
20,0.431084216
0,0.583659708
1,0.544062197
2,0.480987579
3,0.433569133
4,0.396734536
5,0.409588575
6,0.342799813
7,0.300537258
8,0.265804172
9,0.409174949
10,0.334875286
11,0.285629392
12,0.249600068
13,0.426616639
14,0.386724025
15,0.421571583
16,0.448723942
17,0.447728872
18,0.411340684
19,0.427688897
20,0.444636166
0,0.520106137
1,0.513128817
2,0.475519061
3,0.438594311
4,0.409427255
5,0.408285618
6,0.345523268
7,0.306158692
8,0.273654938
9,0.403526843
10,0.336251795
11,0.291149676
12,0.253369331
13,0.415806293
14,0.387080044
15,0.418124259
16,0.440922797
17,0.434370667
18,0.410961211
19,0.426063299
20,0.438592613
0,0.588977456
1,0.547888756
2,0.484068483
3,0.436246753
4,0.40153259
5,0.412170142
6,0.345638633
7,0.303626269
8,0.269255549
9,0.413357258
10,0.338981569
11,0.290173054
12,0.253115267
13,0.431640118
14,0.39105314
15,0.422730297
16,0.447043985
17,0.454042166
18,0.414937764
19,0.429040074
20,0.444813877
0,0.590591669
1,0.551225007
2,0.48709327
